	Cell name	E_rest_0	Input resistance	Cell capacitance	AP1_amp_1.5e-10	APp_amp_1.5e-10	AP1_width_1.5e-10	APp_width_1.5e-10	AP1_thresh_1.5e-10	APp_thresh_1.5e-10	AP1_lat_1.5e-10	ISI1_1.5e-10	ISIl_1.5e-10	ISIavg_1.5e-10	freq_1.5e-10	Adptn_id_1.5e-10	fAHP_AP1_amp_1.5e-10	fAHP_APp_amp_1.5e-10	mAHP_stimend_amp_1.5e-10	sAHP_stimend_amp_1.5e-10	AHP_AP1_amp_1.5e-10	AHP_APp_amp_1.5e-10	AHP_AP1_time_1.5e-10	AHP_APp_time_1.5e-10	AP1_amp_3e-10	APp_amp_3e-10	AP1_width_3e-10	APp_width_3e-10	AP1_thresh_3e-10	APp_thresh_3e-10	AP1_lat_3e-10	ISI1_3e-10	ISIl_3e-10	ISIavg_3e-10	freq_3e-10	Adptn_id_3e-10	fAHP_AP1_amp_3e-10	fAHP_APp_amp_3e-10	mAHP_stimend_amp_3e-10	sAHP_stimend_amp_3e-10	AHP_AP1_amp_3e-10	AHP_APp_amp_3e-10	AHP_AP1_time_3e-10	AHP_APp_time_3e-10
0	Cell 1 of 12617.abf	-0.063568115	209202904.86430025	1.5492896878324217e-10	0.10562134170532227	0.097259521484375	0.001050026250656269	0.0011000275006874949	-0.052185062408447266	-0.041900638580322266	0.009952283807095175	0.0055001375034375855	0.05970149253731338	0.028803661268002288	36.0	0.9078726968174203	0.013305660247802734	0.018066402435302734	-9.1552734e-05	-0.0010070801	0.013275143	0.018035885	0.002	0.00205	0.10858154678344727	0.08853149604797364	0.001050026250656269	0.0013500337508437488	-0.053375247955322266	-0.032379150390625	0.0035021225530638272	0.004850121253031317	0.035950898772469375	0.01998383292915656	50.0	0.8650904033379698	0.014556880950927734	0.02740478515625	-0.00076293945	-0.0009460449	0.014465328	0.026428219	0.00195	0.01505
1	Cell 1 of 12717.abf	-0.07119751	214999067.0993711	1.1142412473384863e-10	0.12338257217407227	0.11419678115844727	0.0009000225005625223	0.0010000250006250155	-0.050750736236572266	-0.044464115142822266	0.02390263256581414	0.01800045001125028	0.04430110752768818	0.033127751270704844	28.0	0.5936794582392775	0.014770503997802734	0.020874019622802734	0.0016174316	-0.00033569336	0.014678951	0.02075195	0.002	0.00205	0.12197876358032227	0.09655761909484864	0.0008500212505312688	0.0012000300007499742	-0.052825931549072266	-0.034088134765625	0.006002185054626366	0.006400160004000094	0.0342008550213756	0.01924248106202655	52.0	0.812865497076024	0.016052242279052734	0.0343017578125	0.0015869141	-6.1035156e-05	0.016021725	0.033447262	0.0018	0.01145
2	Cell 1 of 13218.abf	-0.0670166	176645890.68020585	2.72507157110479e-10	0.11782837295532227	0.10879516983032227	0.0009000225005625223	0.0009500237505937759	-0.051177982330322266	-0.045410160064697266	0.022402595064876615	0.009850246256156409	0.08260206505162626	0.0391464332062847	24.0	0.8807506053268764	0.012390132904052734	0.016143795013427734	0.00015258789	-0.0010070801	0.012359615	0.015991207	0.00185	0.0019	0.11624145889282227	0.100128173828125	0.0009000225005625084	0.0012500312507812694	-0.052520755767822266	-0.03851318359375	0.006502197554938874	0.0064501612540313474	0.030100752518812945	0.022970574264356607	42.0	0.7857142857142856	0.013702388763427734	0.024902339935302734	0.0002746582	-0.0011291504	0.013671871	0.024841305	0.00175	0.00275
3	Cell 1 of 15118.abf	-0.058105472	213027590.06540927	5.191024141295106e-11	0.0987854041159153	0.0929565466940403	0.0008000200005000152	0.00115002875071879	-0.054718021392822266	-0.046478275299072266	0.0011020625515637816	0.0058501462536563464	0.027400685017125337	0.017354005278703392	58.0	0.7864963503649626	0.004638671785593032	0.010986328035593032	-0.002410885	-0.0025024377	0.004547119	0.009857178	0.00175	0.00735	0.0984802283346653	0.09014893141388894	0.0008500212505312688	0.001700042501062482	-0.061737064361572266	-0.043060306549072266	-0.0001479686992174878	0.004800120003000077	0.016200405010125207	0.013235466021785679	76.0	0.7037037037037027	0.008117675691843032	0.013641357332468032	-0.0046997033	-0.005157467	0.0079956055	0.013336182	0.0018	0.0051
4	Cell 1 of 201217.abf	-0.06777954	208377540.68111485	1.5270736721007758e-10	0.10775757217407227	0.09844970893859864	0.0011000275006875226	0.0012000300007500297	-0.051300052642822266	-0.042449954986572266	0.020402545063626584	0.012950323758093948	0.06675166879171984	0.0444611115277882	22.0	0.805992509363296	0.015655513763427734	0.022338863372802734	0.0022888184	0.00018310547	0.015533444	0.021301266	0.00225	0.04225	0.1077880859375	0.09170532417297364	0.001050026250656269	0.0014500362509062281	-0.052978519439697266	-0.03497314453125	0.006552198804970127	0.007250181254531363	0.051451286282157116	0.02958823970599265	34.0	0.8590864917395531	0.018951412200927734	0.03216552734375	0.0018615723	0.00018310547	0.018951412	0.029510494	0.002	0.02345
5	Cell 1 of 22317.abf	-0.059570316	204257283.28231043	1.6539104468225574e-10	0.10369873800873756	0.0934753455221653	0.0012000300007500159	0.001400035000875044	-0.047851566314697266	-0.035552978515625	0.013052361309032728	0.008350208755218885	0.048051201280031985	0.028056951423785594	34.0	0.8262226847034337	0.016448974519968032	0.0263366736471653	0.0018920898	-0.0002746582	0.016296387	0.021728516	0.0025	0.02315	0.10360718527436256	0.08599854078888894	0.0011500287507187623	0.0018000450011249614	-0.047607425689697266	-0.027984621047973633	0.0046521513037825896	0.0064501612540313474	0.038050951273781775	0.023098196502531608	44.0	0.8304862023653086	0.019592285066843032	0.035339357286691665	0.0012512207	-0.00036621094	0.019561768	0.030120853	0.0024	0.0193
6	Cell 1 of 23317.abf	-0.07196045	189733871.34238797	1.6311451208293772e-10	0.12228393936157227	0.11425781631469727	0.001300032500812509	0.0013500337508437488	-0.047760013580322266	-0.042755130767822266	0.038903007575189386	0.03545088627215681	0.07350183754593864	0.054213855346383656	18.0	0.5176870748299318	0.020935054779052734	0.026794429779052734	0.0015869141	-0.00088500977	0.020324703	0.023559567	0.0103	0.02425	0.12020874404907227	0.09899902534484864	0.0012500312507812694	0.0015500387509688185	-0.050079349517822266	-0.033599853515625	0.009452271306782667	0.011950298757468947	0.039300982524563044	0.02701244001688277	36.0	0.6959287531806608	0.022918697357177734	0.0367431640625	0.0017700195	-0.0008239746	0.02288818	0.034210205	0.0025	0.0178
7	Cell 1 of 24517.abf	-0.06607056	170020193.00975174	1.9887036078797247e-10	0.09868775200843811	0.09433899712562561	0.0011500287507187623	0.0012500312507812694	-0.052111820220947264	-0.043380741119384766	0.019002510062751568	0.011600290007250186	0.06580164504112607	0.03801913229648923	24.0	0.8237082066869301	0.01658325791358948	0.02275696015357971	0.0010681152	-0.0006225556	0.016516116	0.020922855	0.00265	0.01995	0.09880371284484864	0.091741943359375	0.0011500287507187762	0.0016000400010000027	-0.052932743072509766	-0.034915164947509764	0.00480215505387635	0.006650166254156348	0.05010125253131331	0.024122825292854547	38.0	0.8672654690618764	0.019924922943115236	0.030062866210937497	0.0007019043	-0.00081177056	0.019845579	0.028616332	0.00245	0.01805
8	Cell 1 of 25517.abf	-0.06842041	193137599.76214486	1.7920365288636888e-10	0.106719970703125	0.101043701171875	0.0009000225005625084	0.0011000275006874949	-0.049621585845947266	-0.041503910064697266	0.024002635065876646	0.01550038750968774	0.05585139628490721	0.04149194638956883	24.0	0.7224709042076997	0.017181392669677734	0.024291988372802734	0.00012207031	-0.0008544922	0.017028805	0.02062988	0.00205	0.02535	0.105865478515625	0.09384155464172364	0.000950023750593762	0.0012500312507812694	-0.050201419830322266	-0.033172607421875	0.00785223130578265	0.007000175004375109	0.05045126128153199	0.025703274160801388	40.0	0.861248761149653	0.020385738372802734	0.033966064453125	0.00015258789	-0.00039672852	0.02023315	0.029022213	0.002	0.01905
9	Cell 1 of 6617.abf	-0.06878662	203404775.98237902	5.196697419364807e-11	0.09127807807922364	0.08947754096984864	0.00140003500087503	0.0017000425010625375	-0.046875003814697266	-0.03900146484375	0.01685245631140779	0.009900247506187662	0.058601465036625944	0.03238295243095363	30.0	0.8310580204778156	0.026672359466552734	0.03228759765625	0.00030517578	-0.0008544922	0.026306149	0.027099606	0.00415	0.0364	0.09411621284484864	0.09039306831359864	0.00140003500087503	0.0021500537513438056	-0.044403079986572266	-0.023986818313598633	0.005402170054251351	0.006300157503937601	0.038150953773844365	0.022764854835656607	44.0	0.8348623853211009	0.03472900390625	0.04687499809265137	0.00061035156	-0.0007324219	0.034576416	0.042419434	0.0032	0.0245
10	Cell 2 of 12717.abf	-0.068603516	169720242.59030187	1.3481985845231207e-10	0.11459350967407227	0.09890747261047364	0.001050026250656269	0.001400035000875044	-0.053192142486572266	-0.045532230377197266	0.01380238005950149	0.02540063501587539	0.04055101377534431	0.03691758960640682	26.0	0.373612823674475	0.016784664154052734	0.023864742279052734	-0.000579834	-0.0013427734	0.013793942	0.01809692	0.0124	0.02015	0.11303711318969727	0.08023071384429932	0.001050026250656269	0.0026000650016250737	-0.056457523345947266	-0.031890869140625	0.0036021250531263205	0.012950323758093948	0.09515237880947025	0.029290732268306707	32.0	0.8638991066736732	0.018890377044677734	0.028564449310302734	-0.0005493164	-0.0012207031	0.018768307	0.026336666	0.00275	0.0182
11	Cell 2 of 13218.abf	-0.0647583	190916649.00033242	1.4582370929799855e-10	0.11672974014282227	0.10473633193969727	0.001050026250656269	0.0012000300007500297	-0.050842288970947266	-0.040252689361572266	0.012452346308657714	0.01080027000675017	0.0735018375459387	0.04136012491221372	24.0	0.8530612244897959	0.012725826263427734	0.018280025482177734	-0.000579834	-0.0015869141	0.012481686	0.01773071	0.0023	0.02385	0.11538696670532227	0.09194946479797364	0.001050026250656269	0.0017500437510937772	-0.052703861236572266	-0.030883790969848633	0.003652126303157574	0.0075001875046876165	0.05260131503287585	0.029160104002600065	34.0	0.8574144486692016	0.013458248138427734	0.027130126953125	-0.0024719238	-0.0028686523	0.013427731	0.023223873	0.0021	0.0201
12	Cell 2 of 171117.abf	-0.06918335	191074851.48229575	2.2022852526033046e-10	0.107177734375	0.10302734375	0.0011000275006875226	0.00115002875071879	-0.046691898345947266	-0.041809085845947266	0.030652801320032994	0.015600390009750248	0.06520163004075102	0.039910997774944376	22.0	0.7607361963190183	0.019073482513427734	0.023315425872802734	-0.0007324219	-0.0020751953	0.018920895	0.02325439	0.0022	0.0023	0.107086181640625	0.10110473823547364	0.001050026250656269	0.0016000400010000027	-0.047088626861572266	-0.034698486328125	0.008252241306032651	0.0059501487537188535	0.030200755018875536	0.023305344538375367	44.0	0.8029801324503312	0.023345943450927734	0.031433101654052734	-0.0011901855	-0.002380371	0.023315426	0.030426022	0.00205	0.01155
13	Cell 2 of 201217.abf	-0.072021484	193008579.86886227	2.1348704809744085e-10	0.12240600967407227	0.11447143936157227	0.001050026250656269	0.0011000275006874949	-0.051635746002197266	-0.044860843658447266	0.03905301132528313	0.028800720018000464	0.09990249756243907	0.05545852932037587	16.0	0.7117117117117115	0.018432613372802734	0.023437496185302734	0.0024414062	-0.00048828125	0.018432613	0.022308346	0.00215	0.024	0.12106323623657227	0.10086059761047364	0.0010500262506562552	0.0012500312507812694	-0.053253177642822266	-0.03363037109375	0.011502322558063952	0.011500287507187679	0.05415135378384456	0.031497216001828615	30.0	0.7876269621421974	0.019653316497802734	0.030456539154052734	0.002319336	-0.0008544922	0.019592281	0.030273434	0.00205	0.0022
14	Cell 2 of 25118.abf	-0.06878662	157361462.75068867	9.992858315122873e-11	0.11987305068969727	0.11029053115844727	0.000950023750593762	0.0011000275006874949	-0.052124027252197266	-0.046417240142822266	0.015502422560564014	0.021300532513312834	0.05400135003375084	0.03991917979767676	24.0	0.6055555555555555	0.013183589935302734	0.018371578216552734	-0.00045776367	-0.0014038086	0.013000485	0.016357418	0.0023	0.01345	0.11840820693969727	0.09924316596984864	0.0009500237505937759	0.0014500362509063391	-0.053771976470947266	-0.03802490234375	0.0038521313032825744	0.011150278756968932	0.031550788769719174	0.022207698049594098	44.0	0.6465927099841511	0.015777584075927734	0.026000972747802734	-0.00091552734	-0.0015258789	0.015777584	0.024078365	0.0022	0.00925
15	Cell 3 of 10717.abf	-0.07293701	175323870.69918883	2.927953414877928e-10	0.11880493545532227	0.11312866592407227	0.0011000275006875226	0.0012500312507812694	-0.052734378814697266	-0.048553470611572266	0.023652626315657885	0.03360084002100053	0.058051451286282085	0.05167351406007373	20.0	0.42118863049095534	0.016815181732177734	0.022064205169677734	-0.0008544922	-0.0018920898	0.014892574	0.0168457	0.0095	0.0149	0.11849975967407227	0.10675048828125	0.0011000275006875088	0.001400035000875044	-0.054046634674072266	-0.042053226470947266	0.008302242556063905	0.012350308757718947	0.04100102502562564	0.028585089627240684	34.0	0.6987804878048779	0.019897457122802734	0.027832027435302734	-0.0007324219	-0.0012817383	0.019775387	0.024414059	0.0027	0.01455
16	Cell 3 of 13218.abf	-0.06240845	179359497.34605688	1.0515710362049142e-10	0.11654663467407227	0.10818481826782227	0.0010000250006250155	0.0011000275006875504	-0.044433597564697266	-0.038818359375	0.022052586314657868	0.015950398759968995	0.07070176754418861	0.04282107052676317	22.0	0.7743988684582744	0.011871334075927734	0.016326900482177734	-0.00088500977	-0.0022888184	0.011871334	0.016235348	0.00195	0.00215	0.11514282608032227	0.099639892578125	0.000950023750593762	0.001400035000875044	-0.046844486236572266	-0.03253173828125	0.007302217555438889	0.008400210005250125	0.03890097252431313	0.026521251266575785	36.0	0.784061696658098	0.013610836029052734	0.025238037109375	-0.0016479492	-0.0024719238	0.013519283	0.023925778	0.00195	0.01725
17	Cell 3 of 181016.abf	-0.06906128	141304963.9803117	1.2562055786440814e-10	0.11315918350219727	0.10980224990844727	0.001000040001600061	0.0011000440017601143	-0.049163822174072266	-0.044830326080322266	0.04350730429217167	0.026101044041761667	0.06170246809872393	0.042111684467378695	22.0	0.5769854132901133	0.016296382904052734	0.021057125091552734	0.00048828125	-0.0011291504	0.016143795	0.01986694	0.0023	0.0156	0.11138916397094727	0.10357666015625	0.0011000440017600588	0.0012000480019200843	-0.049713138580322266	-0.0372314453125	0.011906040241609656	0.0078003120124804926	0.03140125605024202	0.020254976865741296	50.0	0.7515923566878984	0.018463130950927734	0.031463623046875	0.00076293945	-0.0009765625	0.01834106	0.02880859	0.002	0.0138
18	Cell 3 of 6617.abf	-0.06744385	144797989.96792328	3.5933724770908563e-10	0.10150146484375	0.09844970893859864	0.000950023750593762	0.0010000250006250155	-0.050079349517822266	-0.044372562408447266	0.028302742568564215	0.020650516262906565	0.06220155503887598	0.045567805861813214	20.0	0.6680064308681674	0.016510005950927734	0.020904537200927734	0.0006713867	-0.0010070801	0.015747067	0.01773071	0.00615	0.0181	0.102752685546875	0.09582519721984864	0.000950023750593762	0.00115002875071879	-0.050292972564697266	-0.03656005859375	0.010302292557313936	0.008750218755468886	0.03800095002375059	0.024347977120480646	40.0	0.7697368421052632	0.020111080169677734	0.029602046966552734	0.0009460449	-0.00030517578	0.020050045	0.026763912	0.00225	0.01165
19	cell 4 of 111016.abf	-0.061706547	248710604.0688779	6.070679073869016e-11	0.10568237686157227	0.096832275390625	0.001000040001600061	0.0012000480019200843	-0.054962162017822266	-0.042114261627197266	0.007205852234089344	0.009800392015680615	0.06460258410336417	0.0374181633932024	26.0	0.8482972136222913	0.010650630950927734	0.017700191497802734	-0.0016479492	-0.002380371	0.010589596	0.0133666955	0.0023	0.0209	0.10540771865844727	0.08938598823547364	0.001000040001600061	0.0014000560022401354	-0.056701663970947266	-0.0355224609375	0.002805676227049081	0.00720028801152045	0.05140205608224324	0.027045526265495064	38.0	0.8599221789883269	0.012481685638427734	0.023529048919677734	-0.002319336	-0.0026245117	0.012420651	0.020385738	0.0023	0.0171
20	cell 4 of 131016.abf	-0.063934326	160806372.96609983	1.9284277041413256e-10	0.10668945693969727	0.098663330078125	0.001000040001600061	0.0012000480019200843	-0.049896244049072266	-0.03778076171875	0.018506304252170064	0.015200608024320966	0.07030281211248457	0.04292171686867475	22.0	0.7837837837837841	0.013000484466552734	0.021148677825927734	-0.0002746582	-0.0010375977	0.012908932	0.017944332	0.002	0.0287	0.10559082412719727	0.08663940620422364	0.0010000400016000888	0.0013000520020800543	-0.052520755767822266	-0.031341552734375	0.006505824232969304	0.007500300012000499	0.04860194407776319	0.028488639545581826	34.0	0.8456790123456789	0.013793941497802734	0.031219482421875	-0.0006713867	-0.0010375977	0.013763424	0.024932858	0.002	0.0265
21	Cell 4 of 181016.abf	-0.0675354	190842928.35734347	1.6681318602117278e-10	0.107391357421875	0.10302734375	0.0011000440017600588	0.0012000480019200843	-0.053894046783447266	-0.046417240142822266	0.01310608824352974	0.005600224008960347	0.02520100804032166	0.024274655196734184	40.0	0.7777777777777786	0.015594478607177734	0.021514888763427734	-0.00039672852	-0.001159668	0.015441891	0.020904537	0.0022	0.0207	0.1072998046875	0.09790039253234864	0.0011000440017600865	0.0014000560022401354	-0.055389408111572266	-0.0384521484375	0.004205732229289161	0.004600184007360286	0.023700948037921443	0.016417323359601048	62.0	0.8059071729957803	0.018066402435302734	0.030029293060302734	0.00024414062	-0.00061035156	0.01797485	0.029388424	0.002	0.0142
22	Cell 4 of 201117.abf	-0.067993164	176997733.88717514	2.723554869138764e-10	0.11193848037719727	0.105194091796875	0.0010000250006250155	0.0012000300007499742	-0.050750736236572266	-0.046173099517822266	0.023652626315657885	0.021800545013625328	0.05975149378734468	0.046031150778769465	22.0	0.6351464435146446	0.015686031341552734	0.020965572357177734	-0.0006713867	-0.0016479492	0.015594479	0.018798824	0.00225	0.0192	0.10992432022094727	0.09591674995422364	0.0010000250006250155	0.0017500437510937772	-0.051788333892822266	-0.039581302642822266	0.0063021925548138735	0.008000200005000124	0.04040101002525054	0.024663774489099066	40.0	0.8019801980198016	0.017303462982177734	0.029144283294677734	-0.0008544922	-0.0020446777	0.017181393	0.025329586	0.0022	0.0173
23	cell 4 of 61016.abf	-0.06536865	207965593.813569	1.4070692947201899e-10	0.10858154678344727	0.1009521484375	0.001000040001600061	0.0011000440017601143	-0.051971439361572266	-0.041351322174072266	0.014006124244969775	0.009500380015200621	0.05560222408896365	0.030847900582689977	32.0	0.8291366906474821	0.013916011810302734	0.021179195404052734	0.00039672852	-0.00030517578	0.013854977	0.019927975	0.002	0.0198	0.10833740615844727	0.09417724800109864	0.001000040001600061	0.0013000520020801654	-0.053527835845947266	-0.034820556640625	0.005405780231209245	0.0058002320092803705	0.0345013800552022	0.021864510944074125	46.0	0.8318840579710145	0.015502925872802734	0.03009033203125	0.0	-0.00039672852	0.015502926	0.02716064	0.0018	0.0149
24	Cell 5 of 181016.abf	-0.06503296	148405464.0874599	2.4149082105325424e-10	0.11117554092407227	0.10580444717407227	0.0009000360014400632	0.0010000400016001443	-0.051239017486572266	-0.045257572174072266	0.0251065682627305	0.020700828033121316	0.05330213208528345	0.038459871728202456	26.0	0.6116322701688559	0.011322017669677734	0.016723628997802734	-0.00024414062	-0.0011901855	0.011322018	0.01583862	0.0018	0.0136	0.11096191787719727	0.10162353515625	0.0009000360014400632	0.0011000440017600033	-0.052062992095947266	-0.041473392486572266	0.010605988239529573	0.009500380015200593	0.03740149605984233	0.023590943637745505	42.0	0.7459893048128342	0.013214107513427734	0.022369380950927734	-0.00045776367	-0.0010070801	0.013153072	0.021148678	0.0018	0.0146
25	cell 5 of 61016.abf	-0.065093994	181247200.28811318	2.246906133426044e-10	0.10974121475219727	0.102325439453125	0.0011000440017600588	0.0012000480019200843	-0.051666263580322266	-0.043609622955322266	0.017406260250410005	0.009500380015200621	0.0432017280691227	0.02958868354734189	34.0	0.780092592592592	0.014862056732177734	0.021972652435302734	-0.00018310547	-0.0012512207	0.014801022	0.01998901	0.0021	0.0165	0.10791016006469727	0.09457397651672364	0.0011000440017600588	0.0014000560022401354	-0.052978519439697266	-0.035186767578125	0.006305816232649308	0.0058002320092803705	0.029001160046401853	0.02019664119898129	50.0	0.8	0.015747066497802734	0.031280517578125	-0.00033569336	-0.0010986328	0.015747067	0.027770992	0.0019	0.0165
26	Cell 6 of 171117.abf	-0.06832886	178927093.54016024	2.7247648445503447e-10	0.11514282608032227	0.10852051162719727	0.0008500212505312688	0.0010000250006250155	-0.049499515533447266	-0.042633060455322266	0.023452621315532884	0.015850396259906502	0.08440211005275133	0.05762644066101653	18.0	0.8122037914691943	0.015228267669677734	0.020538326263427734	-0.00021362305	-0.0016174316	0.015014645	0.01821899	0.002	0.03565	0.11364746475219727	0.09918213081359864	0.0008500212505312688	0.0015000375009375233	-0.051300052642822266	-0.037506103515625	0.00785223130578265	0.005700142503562586	0.045901147528688235	0.027184012933656673	38.0	0.8758169934640524	0.017120357513427734	0.028411861419677734	-0.0014343262	-0.0018615723	0.017028805	0.025878903	0.0019	0.01305
